id,order_id,product_id,qty
1,1,2770,3
2,1,11007,3
3,1,6809,2
4,1,6987,2
5,1,11947,2
6,2,5071,5
7,2,11331,5
8,2,10470,1
9,2,1249,2
10,2,1990,1
11,3,2933,1
12,3,7394,3
13,3,1990,5
14,3,8759,4
15,3,8369,1
16,4,5837,1
17,4,5788,2
18,5,11884,1
19,5,10164,1
20,5,1040,2
21,5,2389,3
22,5,2628,5
23,6,489,3
24,6,6378,4
25,6,1697,5
26,6,6594,2
27,6,2745,2
28,6,10176,4
29,7,3716,4
30,7,9134,4
31,8,3263,1
32,8,597,4
33,8,3082,1
34,8,9355,3
35,8,281,3
36,8,10629,3
37,9,1397,2
38,9,1573,5
39,9,8529,5
40,9,1909,5
41,9,2225,4
42,9,8100,5
43,9,9038,3
44,9,1963,5
45,10,4032,3
46,10,8800,4
47,10,4808,1
48,10,1747,1
49,10,4919,2
50,10,11402,3
51,11,5570,4
52,11,1219,5
53,11,5961,1
54,11,8164,3
55,11,12102,3
56,12,5370,2
57,12,11663,1
58,12,2252,5
59,12,9879,5
60,12,1641,3
61,13,5216,1
62,13,2993,5
63,13,3479,5
64,13,1292,2
65,13,805,3
66,13,5104,5
67,14,9460,5
68,14,4870,5
69,14,10780,3
70,14,1646,4
71,14,668,3
72,14,6885,1
73,14,10779,3
74,14,4409,1
75,14,2243,1
76,15,697,4
77,15,5917,4
78,15,8880,1
79,15,4331,2
80,15,9681,5
81,15,4057,1
82,15,5474,2
83,15,3034,5
84,16,7706,2
85,17,3910,4
86,17,87,5
87,17,4478,5
88,17,11958,2
89,17,8072,5
90,17,3898,1
91,17,7041,2
92,17,10048,4
93,17,3154,5
94,18,9680,4
95,18,9476,3
96,18,4414,2
97,18,10099,1
98,18,11582,4
99,18,4178,5
100,18,8154,1
101,19,4145,2
102,19,9448,2
103,19,10500,5
104,19,1966,2
105,20,763,1
106,20,11208,4
107,20,2179,2
108,20,4531,1
109,21,11752,1
110,21,11407,1
111,21,6773,1
112,21,5593,2
113,22,6042,3
114,22,6736,4
115,23,10865,2
116,23,10405,2
117,23,3388,4
118,23,5787,2
119,23,10910,2
120,23,8027,4
121,23,4488,4
122,23,802,3
123,24,1007,1
124,24,7517,5
125,24,4737,2
126,25,2306,3
127,25,4577,2
128,25,6983,1
129,25,7754,5
130,25,1070,5
131,26,7363,2
132,26,11280,3
133,26,7813,4
134,26,4418,2
135,27,281,2
136,27,10572,4
137,27,6301,2
138,28,1800,3
139,28,11817,3
140,28,8553,3
141,29,5083,4
142,29,333,1
143,29,9293,1
144,29,3953,3
145,29,4131,2
146,29,10952,5
147,29,10054,5
148,29,8683,2
149,29,10282,4
150,30,5364,5
151,31,3169,2
152,31,1778,3
153,31,11811,4
154,31,4116,3
155,31,9605,2
156,31,10304,4
157,31,10975,5
158,31,9261,5
159,32,10234,2
160,32,4013,3
161,32,751,3
162,32,5848,4
163,32,3952,5
164,32,5463,4
165,32,3729,4
166,32,9215,1
167,33,2245,2
168,33,6730,1
169,33,3359,4
170,33,6757,5
171,33,12102,1
172,33,1682,5
173,33,7230,2
174,33,3617,2
175,33,3580,3
176,33,1587,1
177,34,6704,1
178,34,4595,5
179,34,7371,2
180,34,1532,3
181,34,3879,5
182,34,1947,1
183,34,4102,5
184,34,8797,2
185,34,724,4
186,34,11289,3
187,35,8021,2
188,36,1640,1
189,36,8253,5
190,36,3758,5
191,36,4550,1
192,36,6998,3
193,36,5848,4
194,37,10277,5
195,37,350,3
196,38,3838,1
197,38,12001,2
198,38,3209,2
199,39,1004,4
200,39,3697,5
201,39,2204,1
202,39,1932,2
203,39,6008,3
204,39,11252,4
205,39,2522,1
206,39,2607,4
207,40,576,5
208,40,2869,4
209,40,1779,1
210,40,2582,2
211,40,1200,2
212,40,6801,1
213,41,4361,5
214,41,11694,5
215,41,11095,5
216,42,2579,5
217,42,8731,5
218,42,3533,4
219,42,6962,2
220,42,10010,4
221,42,4575,3
222,42,4264,5
223,42,3509,1
224,43,8773,4
225,43,1492,5
226,43,1890,2
227,43,882,2
228,43,12076,5
229,43,1855,5
230,43,7854,4
231,44,866,5
232,44,2946,5
233,44,3798,2
234,45,8908,1
235,45,3957,5
236,45,9049,1
237,45,5557,5
238,45,8808,1
239,45,4255,3
240,45,5441,5
241,45,2232,2
242,45,722,4
243,45,8037,2
244,46,8487,2
245,46,10238,4
246,47,1314,3
247,47,7552,2
248,47,11164,3
249,47,5533,1
250,47,543,1
251,47,448,1
252,47,11848,1
253,47,1371,3
254,47,2703,5
255,48,7878,1
256,48,7193,5
257,48,10610,3
258,48,938,5
259,49,6211,1
260,49,8258,3
261,49,4787,3
262,49,2610,1
263,49,8942,2
264,49,9837,5
265,50,8557,1
266,50,2468,2
267,50,4735,5
268,50,10186,1
269,50,5147,4
270,50,7683,1
271,50,8310,4
272,50,7657,1
273,51,4025,4
274,51,5659,3
275,51,1454,3
276,51,11861,5
277,51,4507,5
278,52,2015,2
279,52,6767,2
280,52,4415,5
281,52,3734,3
282,52,6055,1
283,52,6000,3
284,52,2790,5
285,52,6150,1
286,52,9053,1
287,52,10241,4
288,53,6721,5
289,53,10064,5
290,53,7538,5
291,53,5818,1
292,54,3028,2
293,54,1058,1
294,54,4388,1
295,54,2006,4
296,54,4143,5
297,54,2036,5
298,54,8672,1
299,54,4287,3
300,54,10548,2
301,55,8449,2
302,55,6195,2
303,55,8657,1
304,55,6549,3
305,56,2319,4
306,56,10143,3
307,57,10571,3
308,57,6679,3
309,57,2599,1
310,57,3977,4
311,57,11748,2
312,57,6034,5
313,57,7060,2
314,57,1706,3
315,57,4127,1
316,57,7569,1
317,58,2567,3
318,58,6123,3
319,58,694,2
320,58,6608,2
321,58,11815,3
322,58,5570,5
323,58,11194,2
324,59,10956,1
325,60,4585,3
326,60,8405,5
327,60,8690,5
328,60,369,2
329,60,11974,1
330,60,6036,2
331,60,9111,5
332,61,5433,2
333,61,7630,5
334,61,11423,1
335,61,11038,3
336,61,616,3
337,62,3913,2
338,62,3542,2
339,62,5818,2
340,62,8622,3
341,62,9620,3
342,63,2317,1
343,63,1476,1
344,63,11655,5
345,63,7451,5
346,64,9937,2
347,65,8071,2
348,65,2208,4
349,65,10552,3
